ID,content,score
2129,"La taille de batterie est non adapté au nombre de LED. Elle ne tient pas beaucoup, même en mode détection de mouvement.",0
3926,j'ai trouvé cet article avec un prix plus bas ailleurs,-1
1673,Sans aucun effet sur les taches,-1
1743,N'est pas tres efficace,-1
503,absence total du goût du café !,0
2839,Pas assez robuste,-1
4185,Pas le même qualité que celle sur photo ce du papier pour couverture des cahier et des livres,-1
4143,J'aime le concept mais les disques sont trop petits,0
2973,Les lumières vacillent...,-1
2482,Vraiment c n'importe quoi,-1
1962,J'ai mal à la nuque en dormant avec l'oreiller,0
2852,N'est pas trop pratique,0
67,"Bon rapport qualité prix : bon gout, mais petite contenance des capsules (5g)",0
475,trop sucrée et gout leger,-1
1054,Mauvaise qualité,0
4006,Très mauvaise texture,-1
2077,Bonne affaire au prix auquel je l'ai prise ( 17 dt) sinon le prix indiqué au début c'est ouuf (49.9dt),0
2313,Qualité a9al barcha mel moyenne,-1
1980,il ne sont pas orthopédique !!!!,-1
3155,Livraison rapide,0
23,Présentation Artisanal - Odeur pas très efficace.,0
2825,Ça ne se fixxe pas,-1
2096,Il manque le câble alimentation,-1
3869,"Flop, qualité 5ayba",-1
3104,Ne conseils pas,-1
602,Instable sur le plan odeur et densité. En tout cas pas conforme à sa première apparition.,-1
1395,Mauvais produit de l’eau il ne contient pas de l’alcool,-1
4133,Je n'aime pas les vernis avec paillettes,-1
1873,Article ne vaut pas 80 dt c trop cher par rapport a la qualité du matière,-1
2612,Un bon produit /qualité-prix,0
4173,Très fragile et très petit,-1
3825,Bon produit,0
679,il n'ai pas concentrés il nettoie pas bien le linge je ne conseille pas aux acheteur,0
303,Avant c'était mieux .thon blanc et mateux,-1
4322,Produit nul il sert à rien,-1
3462,"L'odeur ne dure que le temps de la vaporisation.
Produit totalement inutile",-1
1923,Pas le temps de l'utiliser,0
3895,Toutes les nuances se ressemblent. N'est pas efficace,-1
964,Trop concentré et poucentage d'alcool non mentionné,-1
1604,Produit trop liquide et bouteille n'est pas plastifiée au niveau du bouchon.,-1
3977,Résultat non conclu,0
248,Gagneraient à être mieux emballées,0
3609,Mauvais lissage. Laisse les cheveux bouffis,-1
1413,Renforcer l'attache du lacet au masque,-1
817,Bon produit,0
476,J'ai un avis mitigé sur le miel mais pollen excellent,0
4194,C pas la bonne marque de matière,-1
273,Bon produit,0
1750,Nul je ne le recommande pas,-1
3256,Qualité médiocre,-1
4044,Dessèche les lèvres et trop mate à mon goût,0
1626,J aimée,0
4438,Je n aime pas l odeur,-1
2836,La taille très grand par rapport a la photo,0
979,Bon produit mais pas le top,0
1179,Une qualité très modeste pour un masque ffp2,-1
3666,Trop cher et 8 pièces sont similaires aucune différence entre eux,-1
2926,"La qualité n est pas excellente , et me fallait ajuster la tête de la lampe car je l ai trouvé un peu écrasé dans l emballage , le produit est très fragile .mais  concernantle délais de livraison est excellent ,",0
1815,volume non reglable en utilisant une carte memoire ou flash disc externe,-1
2201,qualité pas top mais vu le prix très bas je m&#039;y attendais un peu ,0
1028,mauvaise odeur...,0
2247,Très mauvais qualité ????????,-1
2224,Il est très difficile de gonfler le pouf. Même après y être arrivé il ne reste pas gonflé plus d'une semaine pourtant il n'y a aucun trou..,-1
748,le seau n'est pas grand (  trois litre plus ou mois )et lors de l'essorage l'eau sale fini avec l'eau propre de nettoyage ! la Tête de vadrouille n'est pas très large ..sinon c'est pas mal comme nettoyage,0
1761,"Pourquoi écrire un aspirateur souffleur
Alors qu'il s'agit d'un simple souffleur il n'aspire
Rien . Je n'ai plus confiance en Ingco.",0
3254,Conseils,0
4489,Bonne odeur ne dure pas longtemps,0
2373,léger mais il fait beaucoup de bruit et parfois l'eau coule au lieu de la vapeur,-1
1516,Fait l'affaire !,0
2477,Qualité incontestable mais la poêle est lourde à l’utilisation ce qui pénalise l’aspect pratique,0
1737,Il ne cuit pas bien les gaufres car ne chauffe pas suffisamment longtemps.,-1
332,Mauvaise qualité,-1
4338,Il n'a été pas efficace,-1
1015,bon produit,0
2547,Produit non fonctionnel a la réception,-1
473,C pas du miel pur,-1
4331,je n'aime pas le cire et l'appareil très chauffante peut te brule quand tu passe  le cire sur ta peau.,-1
1746,Aucun effet sur les moustiques.,-1
2383,Nulle par rapport qualité prix,-1
159,L'arôme est moyen,0
4427,Ne plus vendre cet article,-1
2809,Produit très difficile à assembler,-1
212,Goût et qualité très moyenne vu la provenance....,-1
793,Un bon produit,0
1644,pas très efficace,0
612,pas tellement,0
1850,le côté adhésif se décolle assez vite,0
3645,Bon produit,0
4099,Couleur du vernis c est pas  le même aussi couleur du gloss,-1
912,Qualité de la bavette noir est médiocre. Les autres  ok!,0
3565,Vraiment je suis déçu de ce produit,-1
2727,Ca fait l'affaire,0
3444,Une clé normale est plus efficace.,0
3017,Il est bien mais pour les dimensions des nouvelles machines comme LG ou Samsung,0
254,Je n'aime pas,-1
2240,Conforme aux attentes et au descriptif,0
1880,Rapport qualité prix ....Acceptable,0
331,votre fournisseur c'est un arnaqueur....le produit EC 55 expert se mélange avec 400 litres pour .0.250 l de produit...pour le meme prix ce qui est fournis avec se melande avec 50 litres les 0.250 litres.... Jumia a la qualité de vente et livré...mais vous n'avez pas la main mise sur vos fournisseurs....cet année j'ai perdu au moins 1000 d de produits contre façon..,-1
1894,"article très fragile, plastique de très mauvaise qualité. ne tient pas dans l'armoire et ne porte pas plus d'un pantalon. Je ne recommande pas!!! à éviter",-1
743,Ça se détériore très vite dommage,-1
4110,Produit non conforme,-1
3932,C'est ma meilleure,0
1762,J’aime bien mais ya des problèmes de courants.. faite attention mais ce n’ai pas un produit défaillant comme je l’ai depuis 1mois,0
939,J'ai trouvé le même produit moins cher ailleurs (10dt),0
3178,"Bien car produit acheté soldé mais bien faire attention aux mesures ( je ne l’avais pas fait ! ) car entre le texte sur la photo présente et le produit reçu alors ça fait petit en hauteur.

Ceci étant , ce n’est pas la faute du vendeur. Je serais plus vigilante la prochaine fois et regarderais bien les mesures ( hauteur et largeur ) car la photo de présentation paraissait bien plus grande que ce que j’ai reçu.",0
3811,J’aime pas,-1
589,bien par rapport aux autres,0
478,C'est pas du vrai miel,-1
711,Mauvaise finition et très fragile,-1
3207,Je ne recommande pas ce produit,-1
392,Bonne quantité,0
3224,Pratique,0
3124,"Un plastique   lourd , il est trop léger",0
1453,Instable sur le plan odeur et densité. En tout cas pas conforme à sa première apparition.,-1
1389,Produit moi efficace que commande déjà faite au début de l'année 202,0
371,"Ce produit est déconseillé, c'est une arnaque, Ancienne huile, sans gout et très légère.
Un produit nul",-1
283,"Il y a plus de l'huile que du thon
en plus c'est un mélange des miettes et des morceaux de thon",-1
4281,Un produit performant,0
2052,Dommage que la qualité est très moyenne,-1
2026,"Je n'aime pas du tout, qualité trés mauvaise avec finition terrible",-1
4160,Bon produit,0
3616,Pas tres chaude,-1
992,Qualité très moyenne ! J'ai déjà testé autre marque way better celui qui est avec un backagging en bleu,0
862,élastiques blanc pas top,0
1682,Papiers bulle d'air sans air,-1
3915,à acheter lors des promos uniquement,0
837,Un peu serré,0
2020,Améliorer la qualité,-1
3779,"Le mode d emploi n est pas mentionné dans le packaging,",-1
3670,Bon produit,-1
3242,Zero qualité. Je suis choquée,-1
1386,"Très difficile à remplir, le trou par lequel sort le gel est sur le côté, pas dirigé vers la paume de la main, et encore ça ne sort pas",-1
936,Prix chère,-1
114,"Le goût du café est moyenne, le chocolat est trop léger, seule la camomille est bonne.",0
2962,La lumière n'est pas bien partagé dans la chambre,-1
1130,Le ruban se détache facilement,-1
1890,rapport qualité/prix null,0
1242,Qualité médiocre,0
2340,"Certainement, j'ai trouvé une tâche noir sur le bord heureusement que c'est effacé par lavage",0
2833,Il faut mentionner la longueur maximale et minimale du séparateur. Merci.,0
1463,pas tellement,0
50,Prix trop élevé,0
2846,"la qualite de produit est mediorce 
je l'ai utilise 1 fois et cest tout",-1
4247,"Encore des gerçures,  change rien",-1
2863,Mon café versé dedans brulant devient tiède au bout de deux heures.,-1
4392,Qualité médiocre,-1
3339,Bonne qualitee,0
1044,"La taille est bien mais le soucis c'est la barrette nasale qui sort et peut blesser au visage, du coup je suis obligée de coller un bout de pansement ou une étiquette à chaque fois pour protéger mon enfant, pas très pratique!",0
4220,Bon produit,0
697,Sans aucun effet sur les taches,-1
1323,Les masques KN95 de marque so't plus épais.,0
779,Réponds aux normes standards,0
3360,Rapport qualité-prix,0
3043,je penser que l element ete plus grand,-1
3248,"La sortie d'extraction est sur le dessus, alors qu'il me la fallait sur l'arrière. Rien n'est spécifié dans les hottes à ce sujet, normalement les hottes ont 2 sorties une sur le dessus l'autre à l'arrière, prédécoupé. On enlève la découpe de la sortie que l'on utilise. Donc la hotte ne me sert à rien.",-1
829,Je n'aime pas,-1
4290,"l'épilation est bonne mais il faut faire gaffe à ne pas épiler la même zone deux fois successives, car la peau externe peut se retirer",0
3496,"Je n’ai rien aimé malheureusement, la tondeuse que je viens d’acquérir est une arnaque, elle est très faible, je me suis dis que c’est peut-être les piles, j’ai mis des Duracel, ça n’a rien donné !",-1
3079,J'ai reçu que 1 malgré que s' est écrit lot de 2,-1
3089,Le produit est très grande pour mettre beaucoup des vêtements ou couette. Juste qu’il faudrait préciser la taille ex : L OU M. pour ceux qui ne maîtrisent pas des dimensions prescrites en chiffres.,0
4435,Vitesse tres lente,-1
1995,Les oreillers ne sont pas confortables (très durs),-1
4095,Gabrini à ne pas recommander,-1
2210,"le produit n'est pas assez ergonomique : manque de souplesse, pas confortable",-1
4188,Qualité moyenne mais bon,0
3708,image trompeuse. volume pas assez important.,-1
928,Le contour d'oreille est à revoir,0
4101,"Utile mais trop chère
En plus de petite taille, il me fallait acquérir 2 à la fois",0
1257,Qualité médiocre,-1
365,Sans goût et sans odeur,-1
1191,"ne sont pas efficace ,et très sensible",-1
2591,Elle s'est cassée au bout d'un mois,-1
1409,Le type de gel qui colle aux mains,-1
4050,Couleur pale texture mauvaise et meme application pas facile produit à jeter dans le poubelle,-1
2306,N'est pas adapté aux portes d'entrée l'espace n'est pas assez large,0
3833,"le mascara est trop pâteux, et s'enlève bessif",-1
2570,Le prix et trooo,-1
1744,L’article fonctionne normalement mais il ne fait rien,-1
201,Très loin des autres  marques.,-1
3026,Trop cher par rapport à sa qualité vraiment déçue,-1
2407,polissage non comformele couscousier presente un defeau au niveau du cuisseur vapeur,-1
383,C'est pas extra,-1
2950,Le probleme qu il doit être toujours broncher sinon ça ne marche pas,0
806,Mauvaise qualité,-1
3554,J’ai aimé le sérum,0
2775,La boîte ne se ferme pas comme il faut,0
4328,Qualité de produit,-1
3267,Pas très pratique quand on la tient,-1
2615,"Temps de cuisson très long, cuisson des aliments non uniforme, bon pour de petites quantités",0
3031,"Le plastique n’est pas de bonne qualité , mais c’est un produit facil d’utiliser pour Les enfants",0
2323,"- Peinture pas propre, étagère avec trace de doigts, plaques endommagées, système de fixation (pose) dangereux
+ expédition rapide",-1
3596,Ce produit n'est pas efficace,-1
2094,C'est bien,0
1351,faire le montage des visieres avant leur envoi.,-1
2330,Mauvaises qualités,-1
4168,Produit de mauvaise qualité,-1
509,Pas très frais!!,-1
1724,"Made in Russia, mauvaise odeur et ça tient deux heures seulement et non pas 48h !",-1
2703,Bon produit,0
1340,Prix est cher,0
859,C'est pas top,0
1845,maivaise qualité,-1
1264,Qualité prix acceptable,0
2168,Il est pratique mais un peu mou je pas  pu avoir la vrai forme dont je cherche.. Mais utile pour un reste dans son balcon ou jardin,0
4057,Couleur très clair,-1
3318,Très mauvais,-1
3871,Ma3ejbounich les couleurs mech kima f photo ????????,-1
1140,Ni la qualité et ni l'emballage,-1
2008,"tissu synthétique , produit de pacotille .",-1
560,Faute de votre mauvais emballage j'ai reçu les bouteilles consommés et l'adoucissant renverser. Il fallait bien verrouillé les bouchons avec du scotch et non pas au mieux des bouteilles !!!,-1
739,Pas pratique je ne la recommande pas,-1
3760,Bon produit,0
3407,Mauvaise achat,-1
4080,Qualité moyenne,-1
684,c'est un produit declassé,-1
2940,J’adore parfait pour moi,-1
4043,Bon produit,0
3882,couleur un peu foncée,0
3587,Qualité médiocre,-1
3177,Il s'est déchiré d que je les ouvert,-1
4205,Kit pour bricoleurs et ce n'est rien de professionnel comme sur le site,-1
2134,"Au début, cette lampe marche très bien et éclaire très bien, mais au bout de quelques mois certaines marchent moins bien que d’autres (le capteur ne détecte plus le mouvement).",0
1989,pas mal vu le promo,0
4165,"Rapport qualité prix sa reste plus au moins correcte , mais faut pas s'attendre à une qualité de Ouf",0
2038,Perd ses poils vite fait une seule face est couverte de fourrure l'autre même pas poils pas dutout soyeux surtout pour le prix.. Grand flop,-1
1806,Produit plastique qui ne peut jamais être utilisé comme lampe de bureau,-1
3044,"Vu la dimension, il est cher côté qualité prix.",0
2361,Rapport qualité/ Prix correcte,0
337,repousse presque tout,0
2921,Bon rapport qualité prix,0
4028,"C'est trop nul mais pourquoi mes lèvres ne changent pas , rien à fait",-1
668,Rien à dire,0
1585,il n'ai pas concentrés il nettoie pas bien le linge je ne conseille pas aux acheteur,0
2808,Rapport qualité prix ça passe mais ça reste très fragile. J'ai reçu le produit avec quelques défauts mais ça passe,-1
3805,"C'est un mascara normal (n'est pas waterproof), avec un bon effet volumineux",0
3745,Bon mais trop petit,-1
4177,Qualité médiocre,-1
4055,J’ai pas trop aimé la texture et la couleur,-1
491,Qualité moyenne,0
3320,Très mauvaise qualité,-1
2835,Bien produit,0
3040,"après 15 jours, il est déjà rouillé",-1
1262,Prix plus cher que ailleur !!!!,-1
3041,J'aurai aimé choisir mes motifs,0
736,mauvaise qualité des materiaux. très cher,-1
4304,N'enlève pas les poils qu'après plusieurs applications mais il fait pas trops mal,0
2260,Bon produit,0
4094,très mauvais produit,-1
200,Très s délicieux,0
4377,satisfaite mais la quantité n est pa généreuse par rapport a son prix,0
4222,Très mauvais,-1
191,Une vraie déception,-1
3916,"Ne fait pas grand chose, c'est juste une crème",0
1448,Un bon produit,0
1904,je déteste x 10000000,-1
3885,Ça marche pour blonde,0
4124,Produit non conforme,-1
2311,Qualité catastrophiquement médiocre,-1
92,C’est null null null . C’est de l’arnaque. C’est pas de nespresso et le pire c’est une très mauvaise imitation. Je regrette carrément c’est zero 0,-1
3195,Bonne qualité mais trop chere,0
3190,L image est trop grande pour être collée sur une porte wc,-1
2534,J'ai demandé 2 lots de couleurs différentes chacun. J'ai reçu un lot coloré de 6 couleurs et l'autre 3 couleurs seulement,-1
567,J aimée,0
2305,Trop cher pour du plastique ????????,0
1764,S’est rapidement cassé,-1
4058,Mauvaise couleur!,-1
4383,Je n'ai pas aimé les produits de la marque.  Tous font des taches de produit et une sécheresse de la peau,-1
1355,"de la camelote, n'ayant aucune protection",-1
3443,"Par rapport prix pas mal
Utilisation pour bricolage faciles",0
2832,Je n ai pas aime,-1
1445,bon odeur plus de propreté,0
1344,Produit conforme à la description mais Prix elevé,-1
95,Dépannage,0
1691,Protège bien,0
1536,C'est pas conseillé,-1
281,j'aime bien,-1
1967,Ils sont un peut gonflé malheureusement !,0
1934,"Qualité médiocre, Pour ce prix,  je m'attendais franchement à beaucoup mieux merci quand même",-1
2118,Manque chargeur secteur,-1
3946,Oui tres bon choix,0
2331,Joli mais finitions zero,-1
1689,"C'est pas du papier d'examen. La taille est petite, elle n est pas comme dans la photo.",-1
3381,Je ne sais pas pourquoi,-1
2084,prix trop gonflé par rapport au produit,0
3719,Qualité flop,-1
368,Comme attendu,0
4284,Trop longtemps pour que la cire chauffe et pas complètement j'ai abandonné après quelques essais. Je déconseille totalement son achat malheureusement j'ai mis longtemps avant de l'utiliser je n'ai pas pu la retourner !,-1
1444,bio un des produit a été reversé,-1
872,Mauvaise qualité,-1
4213,Satisfaite en tant que qualité prix,0
1428,Acceptable et sans sucre ????,0
669,Si plus parfumé,0
714,Case apres 2 utilisations passer votre chemin  !,-1
1180,Très mauvaise qualité,-1
2654,Le produit est très lourd et pas du tout pratique,-1
2446,Le poigner de la poêle n'est pas bien fixé avec un jeu au niveau du vis qui est pourtant serré au maximum,-1
2165,"Qualité de fabrication très basique .. Table est chaises DIY.
9asdreya m8alfa melle5er ..",0
1621,"Le produit il est pas concentré du tout ont dirais de l eaux avec colorant , جاري برشا والرائحة متعو مبعد الغسيل عبارة مفماش",-1
1887,La housse s'est déchirer dès la première utilisation alors que ma couette est légère ...,-1
2164,"Trop légère !
Et je vois pas comment je vais utiliser la table en tissue.",0
1966,Ils ne sont pas suffisamment gonflés.,0
562,Un peu liquide,0
3599,Très faible,-1
2673,Je n arrive pas à contacter jumia. Je suis déçue pour ce 1er achat,-1
2848,Produit exeptable,0
1402,Rapport qualité prix acceptable,0
1707,Je n'ai pas aimé le gout,-1
1903,j'arrive pas à remplir le bracelet avec du gel,-1
2111,"Neuve, la lampe est fiable. Cependant les performances se dégradent un peu trop vite avec le temps.",0
3186,C’est totalement un autocollant pas un porte manteau !,-1
1717,C vrai made in germany mais  a n'empêche pas que la qualité est médiocre et sous la moyenne...,-1
1004,.vraiment c'est nul,-1
1869,"Ça se décolle facilement avec la vapeur dans la salle de bain, je les ai mis dans la cuisine",0
3328,Produit moyen,0
1294,Médiocre,-1
117,Café américain,0
1209,Ça fait l'affaire mais je doute que le filtre est bien efficace...,0
1843,Sympa mais ne se collepas aux murs,0
1014,"Malheureusement le fournisseur a triché sur la qualité.
plusieurs masques sans support nez et l’élastique se déchirée très vite.
SVP, il faut faire attention avec vous travaillez.
dans les 2 paquets il y a seulement 18 en bonne état et le reste j'ai le jeté.",-1
2829,Trop petits par rapport à la photo,-1
2309,Bon produit il fait l'affaire,0
1434,"Mauvaise texture, non consistant",-1
575,pas mal,0
160,"Pas bon, pas de goût",-1
2975,"Livraison rapide et en bon état mais la lumière n'est pas vraiment jaune comme sur les photos, c'est plutôt du blanc chaud.",0
3883,La couleur n est pas la meme que celle du produit livré,0
3956,bon produit,0
3662,Catastrophique ce produit,-1
1821,"Il ne se colle pas au mur. En plus la télécommande a une batterie très faible.
Mais qualité de la lumière et les modes généralement bons",0
3112,"Ne se fixe ni sur le radiateur ni sur le balcon. 
Il n'est pas du tout utile",-1
3200,ne colle pas bien sur le mur ???????????,-1
3574,"Côté design, c'est cool",0
445,Qualité moyenne,0
1596,C'est bien,0
1765,Qualité correcte.,0
2167,"Table très  basse par rapport à la photo.
En plus elle ne s'insère pas facilement dans le lit",0
2346,"Qualité/prix il n&#039;y a pas mieux 


",0
717,Pas du tout pratique,-1
87,Il faut lui donner un autre nom que cortado,-1
584,C'est bien,0
2283,"Ne marche pas, tout simplement ⛔",-1
1819,"Ne se colle sur aucune surface, ni mure, ni bois...",-1
2826,Le séparateur peu servir à des tiroirs standard et non ceux sur mesures.,0
326,"Eau de toilette, ""l'alcool"" est de bonne qualité.",-1
3788,J'aime pas,-1
1219,Odeur tres agréable,0
1546,Cela pourrait être mieux,0
1290,Efficace mais trop cher pour seulement 50 g,0
1926,Un peut chère à mon avis par rapport au produit !,0
2380,Qualité moyenne,0
4374,Pas vraiment efficace,0
182,Elle n'est pas délicieuse,-1
3440,Pas assez fort,0
310,C'est plutôt un goût de sardines !,-1
1916,Mauvaise  qualité,-1
1839,il est tré delika attontion,0
3674,Non durable,-1
1397,c de l'eau,-1
2751,Qualité très médiocre,0
1035,bouteille trop fragile pour ce type de produit (alcool),-1
1312,Produit Désagréable,-1
3608,Bon produit,0
2117,Fiabilité nulle,-1
1440,bien par rapport aux autres,0
140,Tous simplement c'est une infusion au camomille avec un goût léger. Ça va plaire les fan de l'infusion des herbes.,0
3144,Qualité prix  raisonnable  mai j'aime pas,-1
3036,Bon produit,0
269,En accordant plus de soin au goût.Choisir des tomates de bonne qualité,-1
2860,"Ce produit loin d'être un thermos.
Il ne conserve pas la température. 
En plus la qualité de l'inox est moyenne
Je ne le recommande pas du tout",-1
4105,Merci pour cette nouvelle produits,0
3085,Mauvaise qualité,-1
563,"Le produit il est pas concentré du tout ont dirais de l eaux avec colorant , جاري برشا والرائحة متعو مبعد الغسيل عبارة مفماش",-1
2048,Coussin déchiré j'ai envi de faire un retour,0
3781,"catastrophe....!!!!
déçue",-1
2352,Produit de qualité moyenne,0
1693,Un bon produit,0
1810,effet lumiére ne s'étale pas sur un mur,-1
2711,"Utilisé pour des gaufres, elles n’étaient pas top contrairement à des marques concurrentes.",-1
2558,"Ça fonctionne bien mais ça chauffe très vite 
Mais au niveau du prix c'est un bon rapport qualité prix",0
3261,Produit de niveau basse et qualité médiocre,-1
4039,J'achèterai plus lella,-1
4393,"La trousse pourrait être mieux, si s'il était plus flexible et plus doux",0
3927,Moyen produit . Mais troo couvrant,0
947,Bon odeur mais très liquide,0
1392,Pas comme prévu,-1
2166,Finition laisse à désirer !,0
1831,"très mauvaise qualité
beaucoup de défaut 
vraiment .... poubelle",-1
470,Il est bon mais de moyenne qualité,0
4303,je n'ai pas aimé la cire,0
899,Ces masques ne tiennent pas bien. Ils tombent rapidement au dessous du nez.,-1
1103,Ça crée une couche blanche sur les mains je crois que c'est pas du tout du gel Antibactérien,-1
1248,"Qualité moyenne, prix non conventionnel",-1
3057,Je n'ai pas aimé la qualité du produit,-1
2252,D'après la 1ère utilisation de ce produit j'ai constaté  qu'il n'est pas puissant et fait de bruits de vibration à la2ème et 3ème vitesse et envoie l'air dans un seule sens et n'est pas réglable au niveau de la hauteur.,0
88,hyper sucré ! Aucun goût de café !!!,-1
3626,"Ce n'est pas de la bonne qualité ,faible la brosse n'est pas souple en bref ca mérite  une étoile pour l'emballage",-1
3827,Cest pour sechage seulement,-1
2533,"La finition laisse à desirer, trop de rayures",-1
1981,Un peu épaisse et chauffante à mon gout et le rembourrage et pas homogène du tout.,0
2843,"Qualite palstique catastrophique prix tres cher par rapport a tel qualité
Déçuuuuue",-1
2701,"Plaques non demantables donc pas facile pour le nettoyage, il n'y a pas de dispositif de fermeture, il faut presser manuellement.",-1
1459,"un léger parfum qui ne dure pas , un  effet assouplissant,  mais pour la propreté du linge je note zéro .",-1
2388,N est pas solide,-1
1377,Produit moyenne gamme,0
3182,"Jolie ma

Jolie mais très fin sa se décolle",0
1851,Aucun mode d’emploi !,-1
597,Un bon produit,0
3656,Je n'apprécie pas le rapport qualité prix faut encourager la consommation du produit national,0
3357,"C'est transparent
A éviter la couleur blanche si les murs sont en mauvais état",0
1809,Horrible qualité,-1
1925,c trop cher par rapport à sa taille ridicule,-1
3486,Bon produit,0
3244,Jamais envoyé recu mauvais produit et jumia ne fait rien service de merde,-1
2462,mauvaise qualité ..,-1
1961,trop petit et non confortable,-1
2607,On a trouver moins cher,0
300,La chaire est sèche,-1
357,On dirait Eau et non pas huile de l'olive,-1
2329,"vu que l'article est fragile , il faut faire attention lors de la livraison et faire un emballage spécifique",-1
99,très bonne qualité.,0
2320,Difficile à poser,0
990,"J'en ai acheté beaucoup et je suis déçue. 
La qualité est inférieure à la marque que j'achète d'habitude (boite en bleu et blanc).
Tissu très fin.",-1
1587,Bon produit,0
1455,C est pas bon,-1
3322,Bof pas facile à installer,-1
3678,"Ne dure pas 15 jours comme c'est énoncé, au début c'était bien et puis même pas 2 jours et son effet est disparu",-1
3814,Pas bien de tout,-1
467,C du miel mais de moyenne qualité,-1
825,Produit de Mauvaise qualité,-1
339,Non efficace et sert à rien,-1
1218,"Je l'ai commandé 2 fois avant et c'était super, sauf que malheureusement en changeant l'emballage, l'odeur a aussi changé et ce n'est pas agréable, c'est fort
Ça reste mon goût peut être que ça peut plaire au gens qui aiment les fortes odeurs",-1
1814,"cv
mais ce serait ideal s'il avait plus de puissance",0
4258,Mal désignation,-1
3202,La taille est trop petite comparé à la photo,-1
4424,pas efficace,-1
3569,pas tres chaud,0
4275,Pratique bon produit,0
1470,Des tâches sont apparus sur les vêtements après utilisation !! Vêtements inutilisable de nouveau.,-1
164,La torréfaction est excessive,0
328,aucunes fiabilité contre les moustiques,-1
3223,Ne coole pas bien,-1
1291,Le contenu de tube est minime,-1
938,bon odeur mais concentration d'alcool faible,0
4287,seulement 8 papiers cire avec le Kit et la cartouche,0
2060,La qualité du produit est médiocre,-1
3420,Les fermetures ne sont pas solides,0
1229,Ça fait l'affaire,0
3789,C est pas mal ni efficace,0
1168,C pas mal,0
1456,L'odeur ne dure pas sur les vêtements et très très concentré,0
737,Pas possibilité d'essorage,-1
3597,Pas top passable mieux investiguer pour une meilleure qualité .. mais pas trop mal .,0
924,Les masques se détachent facilement et ne peuvent même pas être utilisés = perte de masques gratuite,-1
1322,Qualité nulle,-1
515,Trop de sucre moins de goût,-1
3673,Pas extraordinaire mais assez correct vu le prix,0
1006,Qualité 000 yet9at3ou fissa3,-1
